2025-05-22 17:03:22 status half-installed libbrotli1:amd64 1.0.9-2+b6
2025-05-22 17:03:22 status unpacked libbrotli1:amd64 1.0.9-2+b6
2025-05-22 17:03:22 install libbsd0:amd64 <none> 0.11.7-2
2025-05-22 17:03:22 status half-installed libbsd0:amd64 0.11.7-2
2025-05-22 17:03:22 status unpacked libbsd0:amd64 0.11.7-2
2025-05-22 17:03:23 install libunwind-14:amd64 <none> 1:14.0.6-12
2025-05-22 17:03:23 status half-installed libunwind-14:amd64 1:14.0.6-12
2025-05-22 17:03:23 status unpacked libunwind-14:amd64 1:14.0.6-12
2025-05-22 17:03:23 install libc++abi1-14:amd64 <none> 1:14.0.6-12
2025-05-22 17:03:23 status half-installed libc++abi1-14:amd64 1:14.0.6-12
2025-05-22 17:03:23 status unpacked libc++abi1-14:amd64 1:14.0.6-12
2025-05-22 17:03:23 install libc++1-14:amd64 <none> 1:14.0.6-12
2025-05-22 17:03:23 status half-installed libc++1-14:amd64 1:14.0.6-12
2025-05-22 17:03:23 status unpacked libc++1-14:amd64 1:14.0.6-12
2025-05-22 17:03:23 install libunwind-14-dev:amd64 <none> 1:14.0.6-12
2025-05-22 17:03:23 status half-installed libunwind-14-dev:amd64 1:14.0.6-12
2025-05-22 17:03:23 status unpacked libunwind-14-dev:amd64 1:14.0.6-12
2025-05-22 17:03:23 install libc++-14-dev:amd64 <none> 1:14.0.6-12
2025-05-22 17:03:23 status half-installed libc++-14-dev:amd64 1:14.0.6-12
2025-05-22 17:03:23 status unpacked libc++-14-dev:amd64 1:14.0.6-12
2025-05-22 17:03:23 install libc++-dev:amd64 <none> 1:14.0-55.7~deb12u1
2025-05-22 17:03:23 status half-installed libc++-dev:amd64 1:14.0-55.7~deb12u1
2025-05-22 17:03:23 status unpacked libc++-dev:amd64 1:14.0-55.7~deb12u1
2025-05-22 17:03:23 install libc++abi-14-dev:amd64 <none> 1:14.0.6-12
2025-05-22 17:03:23 status half-installed libc++abi-14-dev:amd64 1:14.0.6-12
2025-05-22 17:03:23 status unpacked libc++abi-14-dev:amd64 1:14.0.6-12
2025-05-22 17:03:23 install libc++abi-dev:amd64 <none> 1:14.0-55.7~deb12u1
2025-05-22 17:03:23 status half-installed libc++abi-dev:amd64 1:14.0-55.7~deb12u1
2025-05-22 17:03:23 status unpacked libc++abi-dev:amd64 1:14.0-55.7~deb12u1
2025-05-22 17:03:23 install libc-dev-bin:amd64 <none> 2.36-9+deb12u10
2025-05-22 17:03:23 status half-installed libc-dev-bin:amd64 2.36-9+deb12u10
2025-05-22 17:03:23 status unpacked libc-dev-bin:amd64 2.36-9+deb12u10
2025-05-22 17:03:23 install libexpat1:amd64 <none> 2.5.0-1+deb12u1
2025-05-22 17:03:23 status half-installed libexpat1:amd64 2.5.0-1+deb12u1
2025-05-22 17:03:23 status unpacked libexpat1:amd64 2.5.0-1+deb12u1
2025-05-22 17:03:23 install libpng16-16:amd64 <none> 1.6.39-2
2025-05-22 17:03:23 status half-installed libpng16-16:amd64 1.6.39-2
2025-05-22 17:03:23 status unpacked libpng16-16:amd64 1.6.39-2
2025-05-22 17:03:23 install libfreetype6:amd64 <none> 2.12.1+dfsg-5+deb12u4
2025-05-22 17:03:23 status half-installed libfreetype6:amd64 2.12.1+dfsg-5+deb12u4
2025-05-22 17:03:23 status unpacked libfreetype6:amd64 2.12.1+dfsg-5+deb12u4
2025-05-22 17:03:23 install libfontconfig1:amd64 <none> 2.14.1-4
2025-05-22 17:03:23 status half-installed libfontconfig1:amd64 2.14.1-4
2025-05-22 17:03:23 status unpacked libfontconfig1:amd64 2.14.1-4
2025-05-22 17:03:23 install libde265-0:amd64 <none> 1.0.11-1+deb12u2
2025-05-22 17:03:23 status half-installed libde265-0:amd64 1.0.11-1+deb12u2
2025-05-22 17:03:23 status unpacked libde265-0:amd64 1.0.11-1+deb12u2
2025-05-22 17:03:23 install libnuma1:amd64 <none> 2.0.16-1
2025-05-22 17:03:23 status half-installed libnuma1:amd64 2.0.16-1
2025-05-22 17:03:23 status unpacked libnuma1:amd64 2.0.16-1
2025-05-22 17:03:23 install libx265-199:amd64 <none> 3.5-2+b1
2025-05-22 17:03:23 status half-installed libx265-199:amd64 3.5-2+b1
2025-05-22 17:03:24 status unpacked libx265-199:amd64 3.5-2+b1
2025-05-22 17:03:24 install libheif1:amd64 <none> 1.15.1-1+deb12u1
2025-05-22 17:03:24 status half-installed libheif1:amd64 1.15.1-1+deb12u1
2025-05-22 17:03:24 status unpacked libheif1:amd64 1.15.1-1+deb12u1
2025-05-22 17:03:24 install libdeflate0:amd64 <none> 1.14-1
2025-05-22 17:03:24 status half-installed libdeflate0:amd64 1.14-1
2025-05-22 17:03:24 status unpacked libdeflate0:amd64 1.14-1
2025-05-22 17:03:24 install libjbig0:amd64 <none> 2.1-6.1
2025-05-22 17:03:24 status half-installed libjbig0:amd64 2.1-6.1
2025-05-22 17:03:24 status unpacked libjbig0:amd64 2.1-6.1
2025-05-22 17:03:24 install liblerc4:amd64 <none> 4.0.0+ds-2
2025-05-22 17:03:24 status half-installed liblerc4:amd64 4.0.0+ds-2
2025-05-22 17:03:24 status unpacked liblerc4:amd64 4.0.0+ds-2
2025-05-22 17:03:24 install libwebp7:amd64 <none> 1.2.4-0.2+deb12u1
2025-05-22 17:03:24 status half-installed libwebp7:amd64 1.2.4-0.2+deb12u1
2025-05-22 17:03:24 status unpacked libwebp7:amd64 1.2.4-0.2+deb12u1
2025-05-22 17:03:24 install libtiff6:amd64 <none> 4.5.0-6+deb12u2
2025-05-22 17:03:24 status half-installed libtiff6:amd64 4.5.0-6+deb12u2
2025-05-22 17:03:24 status unpacked libtiff6:amd64 4.5.0-6+deb12u2
2025-05-22 17:03:24 install libxau6:amd64 <none> 1:1.0.9-1
2025-05-22 17:03:24 status half-installed libxau6:amd64 1:1.0.9-1
2025-05-22 17:03:24 status unpacked libxau6:amd64 1:1.0.9-1
2025-05-22 17:03:24 install libxdmcp6:amd64 <none> 1:1.1.2-3
2025-05-22 17:03:24 status half-installed libxdmcp6:amd64 1:1.1.2-3
2025-05-22 17:03:24 status unpacked libxdmcp6:amd64 1:1.1.2-3
2025-05-22 17:03:24 install libxcb1:amd64 <none> 1.15-1
2025-05-22 17:03:24 status half-installed libxcb1:amd64 1.15-1
2025-05-22 17:03:24 status unpacked libxcb1:amd64 1.15-1
2025-05-22 17:03:24 install libx11-data:all <none> 2:1.8.4-2+deb12u2
2025-05-22 17:03:24 status half-installed libx11-data:all 2:1.8.4-2+deb12u2
2025-05-22 17:03:24 status unpacked libx11-data:all 2:1.8.4-2+deb12u2
2025-05-22 17:03:24 install libx11-6:amd64 <none> 2:1.8.4-2+deb12u2
2025-05-22 17:03:24 status half-installed libx11-6:amd64 2:1.8.4-2+deb12u2
2025-05-22 17:03:24 status unpacked libx11-6:amd64 2:1.8.4-2+deb12u2
2025-05-22 17:03:24 install libxpm4:amd64 <none> 1:3.5.12-1.1+deb12u1
2025-05-22 17:03:24 status half-installed libxpm4:amd64 1:3.5.12-1.1+deb12u1
2025-05-22 17:03:24 status unpacked libxpm4:amd64 1:3.5.12-1.1+deb12u1
2025-05-22 17:03:24 install libgd3:amd64 <none> 2.3.3-9
2025-05-22 17:03:24 status half-installed libgd3:amd64 2.3.3-9
2025-05-22 17:03:24 status unpacked libgd3:amd64 2.3.3-9
2025-05-22 17:03:24 install libc-devtools:amd64 <none> 2.36-9+deb12u10
2025-05-22 17:03:24 status half-installed libc-devtools:amd64 2.36-9+deb12u10
2025-05-22 17:03:24 status unpacked libc-devtools:amd64 2.36-9+deb12u10
2025-05-22 17:03:24 install linux-libc-dev:amd64 <none> 6.1.137-1
2025-05-22 17:03:24 status half-installed linux-libc-dev:amd64 6.1.137-1
2025-05-22 17:03:24 status unpacked linux-libc-dev:amd64 6.1.137-1
2025-05-22 17:03:24 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2025-05-22 17:03:24 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2025-05-22 17:03:24 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2025-05-22 17:03:24 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u3
2025-05-22 17:03:24 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u3
2025-05-22 17:03:24 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u3
2025-05-22 17:03:25 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u3
2025-05-22 17:03:25 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u3
2025-05-22 17:03:25 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u3
2025-05-22 17:03:25 install libkeyutils1:amd64 <none> 1.6.3-2
2025-05-22 17:03:25 status half-installed libkeyutils1:amd64 1.6.3-2
2025-05-22 17:03:25 status unpacked libkeyutils1:amd64 1.6.3-2
2025-05-22 17:03:25 install libssl3:amd64 <none> 3.0.16-1~deb12u1
2025-05-22 17:03:25 status half-installed libssl3:amd64 3.0.16-1~deb12u1
2025-05-22 17:03:25 status unpacked libssl3:amd64 3.0.16-1~deb12u1
2025-05-22 17:03:25 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u3
2025-05-22 17:03:25 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u3
2025-05-22 17:03:25 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u3
2025-05-22 17:03:25 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u3
2025-05-22 17:03:25 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u3
2025-05-22 17:03:25 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u3
2025-05-22 17:03:25 install libtirpc-common:all <none> 1.3.3+ds-1
2025-05-22 17:03:25 status half-installed libtirpc-common:all 1.3.3+ds-1
2025-05-22 17:03:25 status unpacked libtirpc-common:all 1.3.3+ds-1
2025-05-22 17:03:25 install libtirpc3:amd64 <none> 1.3.3+ds-1
2025-05-22 17:03:25 status half-installed libtirpc3:amd64 1.3.3+ds-1
2025-05-22 17:03:25 status unpacked libtirpc3:amd64 1.3.3+ds-1
2025-05-22 17:03:25 install libnsl2:amd64 <none> 1.3.0-2
2025-05-22 17:03:25 status half-installed libnsl2:amd64 1.3.0-2
2025-05-22 17:03:25 status unpacked libnsl2:amd64 1.3.0-2
2025-05-22 17:03:25 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2025-05-22 17:03:25 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
2025-05-22 17:03:25 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2025-05-22 17:03:25 install libnsl-dev:amd64 <none> 1.3.0-2
2025-05-22 17:03:25 status half-installed libnsl-dev:amd64 1.3.0-2
2025-05-22 17:03:25 status unpacked libnsl-dev:amd64 1.3.0-2
2025-05-22 17:03:25 install rpcsvc-proto:amd64 <none> 1.4.3-1
2025-05-22 17:03:25 status half-installed rpcsvc-proto:amd64 1.4.3-1
2025-05-22 17:03:25 status unpacked rpcsvc-proto:amd64 1.4.3-1
2025-05-22 17:03:25 install libc6-dev:amd64 <none> 2.36-9+deb12u10
